date,ounces_per_share,per_share_ounces_sold_to_cover_expenses,proceeds_per_share
6/30/2022,0.92279100,0.00041781,0.00824131
7/1/2022,0.92279100,,
7/2/2022,0.92279100,,
7/3/2022,0.92279100,,
7/4/2022,0.92279100,,
7/5/2022,0.92237350,,
7/6/2022,0.92237411,,
7/7/2022,0.92237435,,
7/8/2022,0.92237506,,
7/9/2022,0.92237506,,
7/10/2022,0.92237506,,
7/11/2022,0.92237512,,
7/12/2022,0.92237595,,
7/13/2022,0.92237621,,
7/14/2022,0.92237656,,
7/15/2022,0.92237737,,
7/16/2022,0.92237737,,
7/17/2022,0.92237737,,
7/18/2022,0.92237522,,
7/19/2022,0.92237905,,
7/20/2022,0.92238219,,
7/21/2022,0.92238264,,
7/22/2022,0.92238264,,
7/23/2022,0.92238264,,
7/24/2022,0.92238264,,
7/25/2022,0.92238346,,
7/26/2022,0.92238581,,
7/27/2022,0.92239421,,
7/28/2022,0.92239456,,
7/29/2022,0.92239456,,
7/30/2022,0.92239456,,
7/31/2022,0.92239456,0.00038909,0.00793939
8/1/2022,0.92239189,,
8/2/2022,0.92200561,,
8/3/2022,0.92200561,,
8/4/2022,0.92200568,,
8/5/2022,0.92200568,,
8/6/2022,0.92200568,,
8/7/2022,0.92200568,,
8/8/2022,0.92200562,,
8/9/2022,0.92200583,,
8/10/2022,0.92200583,,
8/11/2022,0.92200586,,
8/12/2022,0.92200586,,
8/13/2022,0.92200586,,
8/14/2022,0.92200586,,
8/15/2022,0.92200550,,
8/16/2022,0.92200593,,
8/17/2022,0.92200577,,
8/18/2022,0.92200658,,
8/19/2022,0.92200812,,
8/20/2022,0.92200812,,
8/21/2022,0.92200812,,
8/22/2022,0.92200866,,
8/23/2022,0.92201144,,
8/24/2022,0.92201144,,
8/25/2022,0.92201293,,
8/26/2022,0.92201489,,
8/27/2022,0.92201489,,
8/28/2022,0.92201489,,
8/29/2022,0.92201599,,
8/30/2022,0.92201646,,
8/31/2022,0.92201870,0.00045057,0.00800671
9/1/2022,0.92201720,,
9/2/2022,0.92156815,,
9/3/2022,0.92156815,,
9/4/2022,0.92156815,,
9/5/2022,0.92156815,,
9/6/2022,0.92156811,,
9/7/2022,0.92156811,,
9/8/2022,0.92156808,,
9/9/2022,0.92156796,,
9/10/2022,0.92156796,,
9/11/2022,0.92156796,,
9/12/2022,0.92156786,,
9/13/2022,0.92156868,,
9/14/2022,0.92156831,,
9/15/2022,0.92156740,,
9/16/2022,0.92156435,,
9/17/2022,0.92156435,,
9/18/2022,0.92156435,,
9/19/2022,0.92156376,,
9/20/2022,0.92156238,,
9/21/2022,0.92156271,,
9/22/2022,0.92156245,,
9/23/2022,0.92156285,,
9/24/2022,0.92156285,,
9/25/2022,0.92156285,,
9/26/2022,0.92156285,,
9/27/2022,0.92156328,,
9/28/2022,0.92156374,,
9/29/2022,0.92156298,,
9/30/2022,0.92156298,0.00036001,0.00698966
10/1/2022,0.92156298,,
10/2/2022,0.92156298,,
10/3/2022,0.92156298,,
10/4/2022,0.92120319,,
10/5/2022,0.92120342,,
10/6/2022,0.92120374,,
10/7/2022,0.92120374,,
10/8/2022,0.92120374,,
10/9/2022,0.92120374,,
10/10/2022,0.92120283,,
10/11/2022,0.92120283,,
10/12/2022,0.92120150,,
10/13/2022,0.92120079,,
10/14/2022,0.92120039,,
10/15/2022,0.92120039,,
10/16/2022,0.92120039,,
10/17/2022,0.92119976,,
10/18/2022,0.92120027,,
