date,ounces_per_share,per_share_ounces_sold_to_cover_expenses,proceeds_per_share
6/30/2022,0.01899926,0.00000402,0.00723463
7/1/2022,0.01899926,,
7/2/2022,0.01899926,,
7/3/2022,0.01899926,,
7/4/2022,0.01899926,,
7/5/2022,0.01899524,,
7/6/2022,0.01899524,,
7/7/2022,0.01899524,,
7/8/2022,0.01899524,,
7/9/2022,0.01899524,,
7/10/2022,0.01899524,,
7/11/2022,0.01899524,,
7/12/2022,0.01899524,,
7/13/2022,0.01899524,,
7/14/2022,0.01899524,,
7/15/2022,0.01899524,,
7/16/2022,0.01899524,,
7/17/2022,0.01899524,,
7/18/2022,0.01899525,,
7/19/2022,0.01899525,,
7/20/2022,0.01899525,,
7/21/2022,0.01899526,,
7/22/2022,0.01899526,,
7/23/2022,0.01899526,,
7/24/2022,0.01899526,,
7/25/2022,0.01899526,,
7/26/2022,0.01899527,,
7/27/2022,0.01899527,,
7/28/2022,0.01899527,,
7/29/2022,0.01899527,,
7/30/2022,0.01899527,,
7/31/2022,0.01899527,0.00000400,0.00709071
8/1/2022,0.01899528,,
8/2/2022,0.01899127,,
8/3/2022,0.01899127,,
8/4/2022,0.01899127,,
8/5/2022,0.01899127,,
8/6/2022,0.01899127,,
8/7/2022,0.01899127,,
8/8/2022,0.01899127,,
8/9/2022,0.01899128,,
8/10/2022,0.01899128,,
8/11/2022,0.01899128,,
8/12/2022,0.01899128,,
8/13/2022,0.01899128,,
8/14/2022,0.01899128,,
8/15/2022,0.01899128,,
8/16/2022,0.01899128,,
8/17/2022,0.01899128,,
8/18/2022,0.01899128,,
8/19/2022,0.01899128,,
8/20/2022,0.01899128,,
8/21/2022,0.01899128,,
8/22/2022,0.01899128,,
8/23/2022,0.01899128,,
8/24/2022,0.01899128,,
8/25/2022,0.01899128,,
8/26/2022,0.01899128,,
8/27/2022,0.01899128,,
8/28/2022,0.01899128,,
8/29/2022,0.01899128,,
8/30/2022,0.01899128,,
8/31/2022,0.01899128,0.00000422,0.00714773
9/1/2022,0.01899129,,
9/2/2022,0.01898707,,
9/3/2022,0.01898707,,
9/4/2022,0.01898707,,
9/5/2022,0.01898707,,
9/6/2022,0.01898707,,
9/7/2022,0.01898707,,
9/8/2022,0.01898707,,
9/9/2022,0.01898707,,
9/10/2022,0.01898707,,
9/11/2022,0.01898707,,
9/12/2022,0.01898707,,
9/13/2022,0.01898707,,
9/14/2022,0.01898707,,
9/15/2022,0.01898707,,
9/16/2022,0.01898707,,
9/17/2022,0.01898707,,
9/18/2022,0.01898707,,
9/19/2022,0.01898707,,
9/20/2022,0.01898707,,
9/21/2022,0.01898708,,
9/22/2022,0.01898709,,
9/23/2022,0.01898709,,
9/24/2022,0.01898709,,
9/25/2022,0.01898709,,
9/26/2022,0.01898710,,
9/27/2022,0.01898712,,
9/28/2022,0.01898714,,
9/29/2022,0.01898716,,
9/30/2022,0.01898716,0.00000404,0.00674074
10/1/2022,0.01898716,,
10/2/2022,0.01898716,,
10/3/2022,0.01898716,,
10/4/2022,0.01898312,,
10/5/2022,0.01898312,,
10/6/2022,0.01898312,,
10/7/2022,0.01898312,,
10/8/2022,0.01898312,,
10/9/2022,0.01898312,,
10/10/2022,0.01898312,,
10/11/2022,0.01898312,,
10/12/2022,0.01898312,,
10/13/2022,0.01898313,,
10/14/2022,0.01898313,,
10/15/2022,0.01898313,,
10/16/2022,0.01898313,,
10/17/2022,0.01898313,,
10/18/2022,0.01898317,,
10/19/2022,0.01898319,,
10/20/2022,0.01898319,,
10/21/2022,0.01898320,,
10/22/2022,0.01898320,,
10/23/2022,0.01898320,,
10/24/2022,0.01898321,,
10/25/2022,0.01898321,,
10/26/2022,0.01898320,,
10/27/2022,0.01898322,,
10/28/2022,0.01898322,,
10/29/2022,0.01898322,,
10/30/2022,0.01898322,,
10/31/2022,0.01898322,0.00000418,0.00688348
11/1/2022,0.01898323,,
11/2/2022,0.01897904,,
11/3/2022,0.01897904,,
11/4/2022,0.01897904,,
11/5/2022,0.01897904,,
11/6/2022,0.01897904,,
11/7/2022,0.01897904,,
11/8/2022,0.01897904,,
11/9/2022,0.01897904,,
11/10/2022,0.01897904,,
11/11/2022,0.01897904,,
11/12/2022,0.01897904,,
11/13/2022,0.01897904,,
11/14/2022,0.01897904,,
11/15/2022,0.01897904,,
11/16/2022,0.01897904,,
11/17/2022,0.01897904,,
11/18/2022,0.01897905,,
11/19/2022,0.01897905,,
11/20/2022,0.01897905,,
11/21/2022,0.01897905,,
11/22/2022,0.01897905,,
11/23/2022,0.01897904,,
11/24/2022,0.01897904,,
11/25/2022,0.01897905,,
11/26/2022,0.01897905,,
11/27/2022,0.01897905,,
11/28/2022,0.01897905,,
11/29/2022,0.01897905,,
11/30/2022,0.01897905,0.00000374,0.00675073
12/1/2022,0.01900392,,
12/2/2022,0.01900013,,
12/3/2022,0.01900013,,
