date,ounces_per_share,per_share_ounces_sold_to_cover_expenses,proceeds_per_share
6/30/2021,0.92750629,0.00040200,0.01055650
7/1/2021,0.92750629,,
7/2/2021,0.92710429,,
7/3/2021,0.92710429,,
7/4/2021,0.92710429,,
7/5/2021,0.92710429,,
7/6/2021,0.92710429,,
7/7/2021,0.92710453,,
7/8/2021,0.92710453,,
7/9/2021,0.92710471,,
7/10/2021,0.92710471,,
7/11/2021,0.92710471,,
7/12/2021,0.92710471,,
7/13/2021,0.92710471,,
7/14/2021,0.92710471,,
7/15/2021,0.92710471,,
7/16/2021,0.92710515,,
7/17/2021,0.92710515,,
7/18/2021,0.92710515,,
7/19/2021,0.92710251,,
7/20/2021,0.92710436,,
7/21/2021,0.92710436,,
7/22/2021,0.92710509,,
7/23/2021,0.92710509,,
7/24/2021,0.92710509,,
7/25/2021,0.92710509,,
7/26/2021,0.92710509,,
7/27/2021,0.92710509,,
7/28/2021,0.92710711,,
7/29/2021,0.92710711,,
7/30/2021,0.92710642,,
7/31/2021,0.92710642,0.00040109,0.01018972
8/1/2021,0.92710642,,
8/2/2021,0.92710642,,
8/3/2021,0.92670533,,
8/4/2021,0.92670533,,
8/5/2021,0.92670533,,
8/6/2021,0.92670528,,
8/7/2021,0.92670528,,
8/8/2021,0.92670528,,
8/9/2021,0.92670528,,
8/10/2021,0.92670528,,
8/11/2021,0.92670528,,
8/12/2021,0.92670474,,
8/13/2021,0.92670474,,
8/14/2021,0.92670474,,
8/15/2021,0.92670474,,
8/16/2021,0.92670474,,
8/17/2021,0.92670474,,
8/18/2021,0.92670559,,
8/19/2021,0.92670618,,
8/20/2021,0.92670707,,
8/21/2021,0.92670707,,
8/22/2021,0.92670707,,
8/23/2021,0.92670741,,
8/24/2021,0.92670932,,
8/25/2021,0.92670932,,
8/26/2021,0.92670932,,
8/27/2021,0.92670932,,
8/28/2021,0.92670932,,
8/29/2021,0.92670932,,
8/30/2021,0.92670932,,
8/31/2021,0.92670576,0.00039591,0.00947026
9/1/2021,0.92670576,,
9/2/2021,0.92630986,,
9/3/2021,0.92630986,,
9/4/2021,0.92630986,,
9/5/2021,0.92630986,,
9/6/2021,0.92630986,,
9/7/2021,0.92631000,,
9/8/2021,0.92631000,,
9/9/2021,0.92631000,,
9/10/2021,0.92631045,,
9/11/2021,0.92631045,,
9/12/2021,0.92631045,,
9/13/2021,0.92631071,,
9/14/2021,0.92631071,,
9/15/2021,0.92631071,,
9/16/2021,0.92631071,,
9/17/2021,0.92631071,,
9/18/2021,0.92631071,,
9/19/2021,0.92631071,,
9/20/2021,0.92630964,,
9/21/2021,0.92630964,,
9/22/2021,0.92630990,,
9/23/2021,0.92630990,,
9/24/2021,0.92631057,,
9/25/2021,0.92631057,,
9/26/2021,0.92631057,,
9/27/2021,0.92631291,,
9/28/2021,0.92631291,,
9/29/2021,0.92631327,,
9/30/2021,0.92630679,0.00040098,0.00885972
10/1/2021,0.92630679,,
10/2/2021,0.92630679,,
10/3/2021,0.92630679,,
10/4/2021,0.92590579,,
10/5/2021,0.92590579,,
10/6/2021,0.92590579,,
10/7/2021,0.92590579,,
10/8/2021,0.92590595,,
10/9/2021,0.92590595,,
10/10/2021,0.92590595,,
10/11/2021,0.92590646,,
10/12/2021,0.92590646,,
10/13/2021,0.92590646,,
10/14/2021,0.92590428,,
10/15/2021,0.92590428,,
10/16/2021,0.92590428,,
10/17/2021,0.92590428,,
10/18/2021,0.92590421,,
10/19/2021,0.92590588,,
10/20/2021,0.92590716,,
10/21/2021,0.92590716,,
10/22/2021,0.92590716,,
10/23/2021,0.92590716,,
10/24/2021,0.92590716,,
10/25/2021,0.92590815,,
10/26/2021,0.92590815,,
10/27/2021,0.92590815,,
10/28/2021,0.92590680,,
10/29/2021,0.92590680,,
10/30/2021,0.92590680,,
10/31/2021,0.92590680,0.00038338,0.00914936
11/1/2021,0.92590761,,
11/2/2021,0.92552335,,
11/3/2021,0.92552348,,
11/4/2021,0.92552331,,
11/5/2021,0.92552336,,
11/6/2021,0.92552336,,
11/7/2021,0.92552336,,
11/8/2021,0.92552336,,
11/9/2021,0.92552336,,
11/10/2021,0.92552336,,
11/11/2021,0.92552336,,
11/12/2021,0.92552240,,
11/13/2021,0.92552240,,
11/14/2021,0.92552240,,
11/15/2021,0.92552240,,
11/16/2021,0.92552240,,
11/17/2021,0.92552240,,
11/18/2021,0.92552240,,
11/19/2021,0.92552240,,
11/20/2021,0.92552240,,
11/21/2021,0.92552240,,
11/22/2021,0.92552191,,
11/23/2021,0.92552297,,
11/24/2021,0.92552297,,
11/25/2021,0.92552297,,
11/26/2021,0.92552180,,
11/27/2021,0.92552180,,
11/28/2021,0.92552180,,
11/29/2021,0.92552180,,
11/30/2021,0.92552219,0.00040209,0.00919182
12/1/2021,0.92552273,,
12/2/2021,0.92512013,,
12/3/2021,0.92512021,,
12/4/2021,0.92512021,,
12/5/2021,0.92512021,,
12/6/2021,0.92512029,,
12/7/2021,0.92512029,,
12/8/2021,0.92511980,,
12/9/2021,0.92511980,,
12/10/2021,0.92512002,,
12/11/2021,0.92512002,,
12/12/2021,0.92512002,,
12/13/2021,0.92512062,,
12/14/2021,0.92512108,,
12/15/2021,0.92512108,,
12/16/2021,0.92512229,,
12/17/2021,0.92512264,,
12/18/2021,0.92512264,,
12/19/2021,0.92512264,,
12/20/2021,0.92512156,,
12/21/2021,0.92512213,,
12/22/2021,0.92512213,,
12/23/2021,0.92512275,,
12/24/2021,0.92512275,,
12/25/2021,0.92512275,,
12/26/2021,0.92512275,,
12/27/2021,0.92512275,,
12/28/2021,0.92512445,,
12/29/2021,0.92512445,,
12/30/2021,0.92512579,,
12/31/2021,0.92512740,0.00039312,0.00899847
